text,label
感觉没有之前好吃了！还是因为不是一个店的缘故,0
送餐太慢，煎饼都蔫了,0
"酒店周围的环境不错,去景点都很方便. 前台态度不错,入住和退房的速度很快.",2
"等了一个多小时还没到，就打电话催单，我说等了一个小时，接电话的服务员还说，哪到一个小时了！我有必要说谎么？定外卖多送的慢我可以理解，但是接电话的服务员的态度让我很不爽，又查了一下电脑证明我真的等了一个小时才说，送外卖的已经出去了。,还有三明治，料明显不足，不知是受减钱的影响还是受人多的影响。下订单时说多带一包番茄酱也没有带。",0
百度的服务还是很不错的，辣牛肉汤味道也不错，可惜送达的时间实在是太晚了，我都是冰冰凉吃的，唉，非常委屈,0
书是给我两岁三个月的宝贝女儿买的，她对此书没有一点兴趣。九岁的儿子也就随便翻了翻。他平时很喜欢看不同的书的。,1
"垃圾垃圾,这餐还送不送啊,俩小时了还没到",0
前几日山西旅游到大同，通过电话定了这个酒店。总体感觉非常不爽。 房间刚刚够上三星标准，偏偏报了一个四星；入住后感觉就是一个洗浴中心，房间不隔音也比较乱。第二天结帐又是内部结算又是房间内的物品损坏，上去一看又说查错了，真的不知道搞什么。下回请携程推荐时注意一下酒店品味。不要砸招牌。,1
火锅店的炒菜。。不敢恭维,0
"别的百度骑士都给送上楼,这个没有给送到楼上,没有就算了,态度也一般,就这样吧,粉吃起来的味道还是可以的,气味稍微有一点怪。。而且并没有见到螺丝,有点失望",0
送餐速度很快，非常好,2
不错很好赞,2
好吃又美味,2
两个小时后送来的，鱼早冷了，简直腥哭,0
很经典的书书也很精致，拿到手感觉很兴奋 ，写作流畅，通俗易懂，更深入生活，把心理学理论与知识联系人们的日常生活与工作，使它同样也成为一般大众了解心理学与自己的极好读物！正如作者所言，“心理学是一门与人类幸福密切相关的科学”，它贴近生活，深入实践的独特风格同样也是一般大众了解心理学，更好地理解人性和提高自身全面素质的好读物。,2
吃完第二天拉肚子～,2
垃圾到家了！！！什么送餐速度！到了都是凉的！,0
很不错的机器，做工惊喜，外观漂亮，包括灯光系统设计都很人性化，机器配置均衡，总体来说配置算不错的了，运行Vista比我想像的要流畅，以前一直用XP，从来没用过Vista，原本打算不行就换要XP了，但是使用后发觉Vista用起来也挺顺手，该机双通道2G DDR1066的内存完全可以保证Vista流畅运行，也就不打算折腾换XP了！CPU显卡也完全够用，接口也非常齐全，总体来说很满意！,2
俩小时才送到！！还全撒了！！！,0
六心电池装在后面突出一大块影响美观，速度慢机器有点卡，放歌一停顿一停顿，重量比一般的上网本重，触摸板鼠标反应不灵敏，滑的区域太小，,1
美中不足的是：送来的赠品--包包质量有点问题，但京东不让换，这让人感觉有点遗憾~~,1
用起来还不错，本人还有几张2000-100 1000-50 东券要的加qq 673946022,2
师傅非常好，谢谢,2
"味道很正，很好吃！！不油腻，棒！！,服务也非常好！",2
有点甜...其他都还好。,0
当当的送货真是太慢了 ，从下单到收到用了8天，还是快递，而且我打了起码10个电话给快递，到了本城好几天才给送来，首先说是下雨不送，后来一直说没人 尽量安排。 买了20几本书，有一套书一共12本，每本几块钱，但是发错一本，有一本发重复 一本没发，打电话给当当，说要换的话要整套去邮局汇给他们，然后再帮我换货，不过，我实在是不想这么麻烦了，又要等10几天。这一次交易暴露了当当很多的问题。总之，这次交易是不愉快的 。,1
没吃出什么味道。饿死了。迟到1个多小时。,0
一般，没有石锅味道就是不行。。。,0
本人一家大小是6月7日入住、8日Out，对淋浴间很不满意全玻璃、人在里面所做的动作清楚看到，洗完澡还要走出外面洗手台穿衣服，小孩已十多岁很尴尬，座厕位置狭小无比，最让人气愤一间标榜五星级的酒店，五星级的收费但所配置的产品品牌远远达不到标准（指的是洁具、龙头、五金）。特别提醒靠停车场那边房间的住客，去厕所记得拉好窗帘，别以为那是反光玻璃来的，你们在里面的美态真让人心跳！！！,1
"第一次定,挺好吃的,就是有点慢,可能距离有些远",2
味道很好的，就是今天店家太不小心，菜品送错了，还有面里都没加花生，唉,2
挺好的，百度小哥很好，菜品也不错。,2
纯素蔬菜卷，好多香菇，对不吃香菇的人来说，要疯了....,2
1 房间很小，地毯很脏，白毛巾显黑色 2 中央空调有异响，后半夜只好关掉 3 洗澡水忽冷忽热,1
是晚上到上饶的，打电话给酒店问路，态度不好，还总指错路。在上饶绕了好久才找到酒店。入住后发现，房间小且不太干净。厕所马桶很脏。烧水器连个指示灯都没有。下次来肯定不住这儿了。,1
对配送和客服极失望,0
"本来不错，汤里有只腻虫,伤得不行...",0
新年第一天速度依然超级快,2
"酒店服務員的服務態度不太有禮貌, 入住的房間比較簡陋, 房間價錢貴.",1
内存是2条，若升级，必须废除至少一条，有点浪费，该为用户着想一点。USB接口有点紧，内存藏盖板偏紧，硬压才能盖平。,1
送餐有些慢，菜的味道不错,0
电话接线人员服务差,0
"肘子卷饼根本没有肉的香味,不咸不淡不好吃,提前订的,等了2个多小时才到,我打了5个电话催,真是醉了",0
"送餐慢了,可乐都快撒一半了",0
菜品质量很好，吃货几次了，都还不错,2
1、音效不错； 2、摄像头虽然是30万的，可是还是蛮清晰的，不错； 3、电脑的快捷键多，方便使用； 4、配置方面对得起这个价钱（可是我买完就降了100元，555）,2
这款机子，我没发现任何值得说好的地方！等待我不停的投诉吧！。。。（下面的评价不让多写字，写了很多发不了）,2
送餐非常速度，负责人，热情！,2
"味道很好吃,送餐速度快,下次还会再买的",2
豆腐脑不够嫩但是煎饼和炸蘑菇很好吃…没吃够…,2
看着他们浴血奋战，看着他们在那个年代为我们杀出幸福之路，为我们搏出国家的尊严，在明知是必死不已的战争里，他们还是想胜利~~是炮灰吗？不是！他们是子弹，是最最锋利的刀刃，直捣敌人心脏~！他们教会我不论在任何时候，就算破败不堪，就算狼狈囫囵，就算没了希望的火焰，也要乐观向上的生活下去，有着崇高的信念，有着坚定的信心，就会活的精彩！活出尊严，活出价值，活出真正的自己！值得收藏~~,2
"价格贵,东西不好吃,再也不会来了",0
总体来说都还算OK。就是安装系统的时候需要进BIOS那里把SATA 模式改为IDE才能安装。,2
"面对鸦绿江大桥,附望远镜,还有飞镖,设施没话讲!下楼就是风景区很不错!",2
在宁夏来说这人酒店应该是算好的一个酒店了吧.,2
书太小了 拿到手里很是失望本以为会多么精致~~~真的是适合小孩看啊可很小的孩子的又看不懂还不是大人给小孩子讲所以应该精致一点才好价钱还是不太值啊,1
就是太慢了，我12：44才收到，晚了一个小时，饭都凉了。,0
很快就送来了，棒棒哒，满意。,2
房间比较差，尤其是洗手间，房间隔音和餐饮服务都不好。,1
好久没吃了，说再吃一次，味道还是那个味道，送餐速度还是那个送餐速度，他妈的2个多小时才送到，蛋挞凉透了，面陀了，有木有，自己送的餐的服务不行，能不能花钱跟百度签个送餐协议，擦。,0
很喜欢卖家的包装，下次还会来的,2
你好!我想问一下我在12月4日订的<别笑！我是英文单词书>为什么还没到?不是有存货吗?要那么久的货期吗?,1
没送到擅自点击送餐完成，近几次定餐配送都在一个半小时左右。,0
超级难吃，谁订谁知道,0
巨油！感觉就是在喝油,0
初次看《平凡的世界》是在初三那年，看完感触很深，后来又陆陆续续看了好几遍，总是让我深陷其中，以前买的都是盗版的，总有很多错误，而且还少情节，终于可以买一本正版的好书了，以后也会介绍给我的孩子看的，我们这一代，对农村的生活还是有感觉的，可现在的孩子根本不知道这些事，我想只有让这些好的描写农村作品的书能让孩子了解农民和农村。确实是一本值得买值得读的好书。,2
味道不错，份量够足，速度也快，态度好。,2
送餐用了1个半小时~~~我也是醉了，鱼香鸡丝，半盒子油，超级咸，黑乎乎的...不健康太油了~~以后不定他家了！！,0
和父母一起去的，所以住在家庭房里，没有看到无敌江景。 总得来说，酒店弄得比较干净。韩国人特别多。但是房间里老是有一股去不了的怪味道，马桶偶尔漏漏水，莲蓬头设计得非常容易往外溅水。早餐也不咋地。 虽然缺点多多，但是已经算是丹东最顶尖的酒店了。,2
东西挺好，有点儿辣有点儿咸。送餐速度慢哭了。。。。。。,0
所有观点都是泛泛而谈，点到即止，没有实际效用．很失望．对任何一个受过教育的女性来说都米啥大作用,1
特价房环境非常不好，只有一扇非常小的气窗通向宾馆过道，有点象住在地下室的感觉。房间下水道还往上翻难闻的臭气。请慎重选择此宾馆。,1
豆腐脑都凉了，豆腐上还有一根头发！！！！！,0
今天太快了，满意！,2
吃正一味，如果你没信心等，那就别点了，86分钟，我快出现幻觉了，以为订的下午茶呢，想想这速度，都醉了。。。。。,0
味道不错，价格合理，很好吃,2
但是降价也太快了吧，我订购时4299，才不到一周呢，又降了100多，这对消费者太不公平了。虽说电子产品降价无常，京东应该起带头作用，规范电子产品市场。,1
显示屏清晰度不够，在白色背景下是灰蒙蒙的，如同磨砂玻璃，不白亮，整个屏幕有无数雪花点或横条。俗称“雪花屏”。优化大师检测结果是：友达品牌的屏幕，制造日期为：2006年第一周。,1
锅塌鸡蛋味精放太多了，吃一口就丢了，凉菜都很好吃，饺子很称职的饺子本人！,0
送过来都冷掉了。。,0
发誓，再不住这个酒店，服务非常差，4星级酒店没有门童开门，接行李。只有保安催TAXI马上离开，哪怕我们的行李还在后箱！！！！ 补充点评 2006年9月1日 ： 哎，反正瑞安这个城市的印象非常不好， TAXI经常拒载，脾气也非常不好，城市又很脏，服务是全国最差！,1
轻便、小巧、配置不错！ 送货速度快，当天下午四点多下单，次日上午十点到货。,2
特价房相当的吵。临近高价桥，晚上吵死拉。不过在背面的房间倒还不错，价格也很有吸引力。就是房间很旧！服务员态度一般，而且还很忙，入住和退房都等了很久，差不多10-30分钟才能搞定。,1
焖面量比较小,2
涨价拉、就不想吃拉,0
十点五十定的十二点四十到，肘子感觉有点怪味，肥肉里面还有瘤子，不会再点了。。,0
我一般都不愿意写点评的，但这真的是我入住过的五星级酒店中，也是万丽品牌酒店中最糟糕的。房间当然牵强人意，同行的同事问我这个酒店是不是非常老了，卫浴设备也都是非常陈旧的。天津的配备跟我在苏州住过的万丽酒店简直是无法相提并论的。另外，我订的还是行政房，结果办手续的速度可以让我吃一顿早饭了，真的是非常痛苦，我们一行四人，最起码一个人办手续花了15分钟时间。还有早餐简直让我怀疑这是五星级酒店的早餐，也没有鲜榨橙汁，水果也很糟糕，时蔬更加难吃只有一个冬瓜，我一共就喝了一杯豆浆和一碗粥。,1
点了热带雨林披萨+饮料，和BBQ鸡肉披萨+饮料，送来的是两个奥尔良披萨+两个银耳冰粥，冰凉冰凉的!!!!!完全无视了我们的订单吗这是!?!?不过奥尔良披萨还挺好吃的,0
酸菜味道超棒，送餐速度也很快，辛苦快递师傅了！,2
少送了辣白菜,0
忘了配送卤蛋！,0
这是一本很有意义的性启蒙教育的书，在此书刚出版的时候我就给我的孩子买了，并跟孩子一起翻阅，从正面加以引导，我自认为我的孩子在性启蒙方面比其他的孩子了解的更多一些，没有了好奇，心态平和，能以正常的心态看待成长过程中所发生的一些事情。今天我是给我的朋友的孩子买的，我想，通过此书能让更多的孩子了解他们成长中所要面临的一些看似神秘，其实应该是再正常不过的事情了。,2
很清晰，不像有些人说的是盗版，我很喜欢!配套的听力材料是网上下载的，内容很丰富，场景包罗万象，有不同英语人士的语音语调，让我觉得有兴趣去听。对于英语学习者来说，此书的的口音听力材料可以帮助你熟悉。书是所有录音的文字材料，放在手边可供查阅。虽然历经这么多年，听力材料我认为不过时，需要的事是坚持不懈的听！,2
"冷面太甜了,有点吃不惯",0
请你们立即将我当当帐号里的10元 礼卷 取消掉！！！谁需要你们那破 礼卷 ！！不是明确告诉你们不要放这 礼卷 在我帐号中吗？本来那天接到你们的道歉电话我已经不再提这事了。不取消这破 礼卷 我将继续去“写评论”！！！你们怎么这么讨厌！！！KF051501056101361930,1
不错，送餐及时，还会再光顾的,2
和T系一样的手感 几乎一样的使用感受 ， 虽然没有指纹识别 ，但那个噱头不要也罢。屏幕最高亮度很亮，白色很白，没有发蓝或者发黄的现象。暂时还没有看见坏点。在使用一段时间后，手托没有出现明显的升温。,2
我买了只过了一天，另一款类似配置，但更高的型号竟然降价后的价格比这款便宜好多。买亏了！！！,1
送餐太慢了，11点半订的餐，你下午1点半才送到,0
"我们是夜间1点多到的青岛，酒店安排了免费接机，酒店的服务从这时就开始了，上了接机车，司机就递上了消毒毛巾和矿泉水，给我们带来了一股清凉，车快到酒店时，司机通知酒店客人马上就到，车进入酒店直接停在了我们入住房间的楼门前，早已有服务员在此等候，为我们打开了车门，将我们送入了房间，紧接着送来了两杯果汁，并告知我们天色已晚，为不影响我们休息，明天再办理入住手续。我们住的贵宾楼新装修过了,我们订的是北房，安排在一楼，房间内的设施还是不错的，床和床上用品都够标准，这一夜睡得很舒服。第二天白天时，听到有不大的装修声音，LG提了点意见，酒店立即更换了房间，升级到了4楼的海景房，真是没得说。酒店的露天海水泳池正常是10点开始，LG有晨泳的习惯，游泳池的服务生说你什么时候来只要招呼一下就行，LG很高兴，我也破例没睡懒觉，去游了次晨泳。 在酒店吃了一次晚餐，用餐间LG咳嗽了几声，餐厅服务生立即送来了一份银耳羹，一会又送来了止咳含片，像这么无微不至的关心，真是难得见到。 走在酒店每一处，见到的每一位酒店员工都对你真诚地微笑，让人感到这里是一个大家庭，家里的每个人都很友好，我们的心也在微笑。 从很多细微之处，体现了酒店的管理水平，从我们接触的酒店员工身上，我们看到了他们对酒店的热爱，以能在这个酒店工作为荣，这真是很难得的。在我们住过的酒店中，这家酒店以它一流的服务，一流的微笑，一流的管理给我们留下了深刻的印象，以后再到青岛，非它莫属了。",2
酒店很大，服务太差，Ａ楼房间也老，下次再也不住了。环境很好，打高尔夫的或许可以忍忍吧。,2
11:30定的，13:20送到，送饭小哥是新人，可以理解，但装饭的没装勺也没装纸巾不知道几个意思……总之饿过劲儿了……,0
太慢了，以后不点这家了！都凉了,0
房价要四百多，但感到非常失望，陈旧，脏，比锦江之星还差。以后肯定不会再去了。这样的硬件设施和服务怎么吸引客人呢。,1
连续几天点这家外卖，味道很良心,2
送餐少送了一份，打了电话又送一次，还赠送了果醋和粽子，没多少钱的东西让人家跑了两趟也挺不好意思！,2
"还不错就是皮蛋粥,不好喝",2
超级难吃，最差的外卖,0
送货员送错了一份餐，也没有给发票,0
最好是三本一起看。藏獒2主要是写藏獒与狼的惊心动魄的搏斗。场面非常的宏大，壮观，情节很吸引人。在藏獒救人的情节中，有很多感人的事迹，让人不由得黯然泪下。真的很向往在西结古草原上的藏獒，勇敢，机灵，忠诚。永远都是先人后己，无所畏惧的牺牲自己。特别是大黑獒那日，真的是让人感动，赞叹。还有很多很多的藏獒们为了人类牺牲了自己。品格高尚的藏獒们是大自然赐给人类的精灵。,2
刚刚拿到机器，开了好几次机，就是启动不了，进不了系统，不知道是什么原因,1
都说了米线和宽面，写了备注还送错、软软的怎么吃，,0
这是一本可以让读者有相当受益的书，不用艰深的理论，不用繁琐的文字，看图讲解，全彩印刷，让读者们ㄧ看就懂，并从中学到很多生活上我们可能不会留意到的礼仪细节。虽说大家都说不喜欢表面功夫，但人跟人相处第一眼的印象确实很重要，给人一个成熟稳重有礼貌的感觉，绝对在职场上或社交上加分，无形的东西很难用金钱来衡量，但就像书中说的学会礼仪你所获得的可能超过百万价值。结论:值得推荐大家购买学习,2
非常好！第一次用百度外卖，送餐很快，快递小哥也很礼貌。菜品量足，味道不错，下次再来。,2
嗯嗯，可以吧。,0
为啥网上没有15块钱套餐了。,0
aggerssive 书中却拼成了aggresive 书的正文和背面都有这种错误，请作者和出版商给读者一个合理解释，并纠正此错！这也是商家信誉问题！,1
送货很快，经常吃他家的，很棒,2
"味道不错,就是太慢了,真的很慢",0
送饭太慢了,0
"一个卷饼一碗粥,刚刚好",2
有一杯没有奶盖…服了,0
一份米饭还能再少点吗？？？？？？百度服务没的说，5星,0
性价比高，找了好多商场都没有找到合适的，同样的东西别的地方好贵。,2
我付款已第三天，至今未收到货！由于点错了，才进到这个介面的。无奈中！！！,1
菜没熟，蒜台、青椒没熟。好难吃。,0
清炒时蔬你们能换一换别的菜吗？菜都是苦的你们自己尝尝好吗？太难吃了！！每次都是这种绿叶菜，每次都扔掉！,0
送的很慢，足足一个半小时。再过2分钟就该严重晚点半价了。,0
菜有点辣，菜量挺好，量大。味道挺好。,2
送达个屁啊！我这还没吃上呢，系统就显示已送达！！！我只能说这个软件是神马玩意啊！！！！,0
早餐的煎饼种类好少,0
太慢。。。1个半小时才送到。,0
稻香村的糕点一直都很好吃,2
"送餐哥们很好,谢谢",2
8.9寸的外壳和10.1的外壳大小一样体现不出是8.9寸屏幕外圈一片很大的板区,1
送餐太慢了！味道一般般,0
订的是厦门宾馆的5号楼，很安静，房间很干净、宽敞、舒适，服务也很不错。宾馆的地理位置很方便，到厦大、轮渡都只要起步费，而且宾馆本身是花园宾馆，也很漂亮。还有，送的双早也很不错。总之，非常喜欢的宾馆，下次去厦门一定还会住的。,2
"1.菜量比以往少太多了！！！,2.发票少开十几块钱。,真差劲，以后不定这家了！",0
"并没有宣传的那样好,且没有什么实用性,更没有娱乐价值,现在也没有人糊墙了,真不知道,拿这本书做什么???",1
你妹啊，送过来的米饭馊了！！！我吃一口吐了，赚钱也没必要这样吧？我勒个去！,0
食物太差，其中一個餸是壞的,0
今天送的慢，说我这边就一个外卖，然后送了快2小时。给客服打电话态度很差！,0
不足之处有两个： 1、电源盒子发热惊人！接上电不久就很烫手了！ 2、内存插槽只有一个，要加内存还得把原装的给卸下来。,1
两个半小时才送来，非常不满意！说什么停电两个小时，那停电你就别接单啊，我叫别家外卖也行啊，或者提前打电话解释一下也可以啊！,0
音响完全垃圾啊，实在无法忍受 对于我这种对音质一点要求都没有的人，都无法忍受，你们可以看看其烂的程度,1
两次了都送错粉，下单是牛腩粉，送餐的单子写的大排粉，实际送的是红烧肉粉，价格也比我点的便宜，什么情况，绝对差评！,0
"实在对不起四星的称呼!12月份在2--14度的气温下,只在晚上8点后才开空调!下半夜又关闭!投诉后还有理说是响应政府号召:节约能耗.这样的HOTEL朋友们您还敢入住吗?",1
1。接口设计不合理，鼠标USB的位置在右下方插上很别扭。电源接口在右侧，和光驱一侧。 2。内存应换为800MHz，而不是现在的好像是667，更充分利用性能。 3。低于4K可以买。驱动盘里应加入xp驱动,1
主要是速度慢得，没法吐槽了,0
态度很好，也很好吃，继续努力啊～,2
1.装机比较麻烦，需要专业人士！ 2.机箱里面有个三联的微星三包凭证，上面说要注明购买日期和由经销商盖章才可执行质保，可我看到的是三张空白的，不知是否影响质保?,1
我们住的是8号五星楼，总体来讲还可以，服务还有些欠缺，退房是时间太长 宾馆反馈 2008年5月6日 ： 非常感谢您入住金陵溧阳宾馆 ，并通过网站将您的入住感受与我们分享。我们宾馆始终致力于不断提升酒店的软件和硬件设备，为客人提供良好的入住环境和美好的入住体验，您的意见我们已做过专题讨论会，对于退房等一系列服务已做出改进。恭候您的再次光临！,2
订了三碗粥，三份分量都不一样坑,0
送餐找不到地方，打了好几个电话，包的也不好，油漏的到处都都是...,0
这是从宇宙送来的，快递太慢，6点39下单，马上八点才到,0
快递师傅特别好～等了我10分钟,2
机子配置还好吧，没特殊需求完全够用。正版的红帽子系统还是蛮好的，虽然不常用，但是换换口味也不错。,2
"这次我们订的海景房,入住比上次入住时的环境稍好一些,地理位置也是靠近海,比较好找.可惜的是到了晚上热水没有了,都是凉水.不知是锅炉太小了还是其他什么原因?等到第二天早上开热水时,一下子又把人烫得要死.变化太大了吧!还有就是娱乐项目的价格偏高了一些.",2
点的肘子卷送的土豆卷，打电话说再送过来也没送。,0
"入住的时候礼宾在哪里?房间里的花盆特别象90年代初期的田园花盆,极为难看.更可怕的是入住的时候门口不管客人,照常做大范围清洁.",2
"我昨天中午11:34下的订单，下午一点还没到不说，只要打电话,就说就在附近，到了两点，餐点还没到，我说取消，一直取消到今天！我根本都没收到餐点,怎么订单就结束了？口口声声说给我取消,今天一看，嘿，订单结束了？！",0
我第一次用携程订房，在长安酒店住得很舒适，餐饮很令人满意。价格仅比前台价格低不多，不是太有竞争优势。,2
送餐小哥速度很快～煎饼不错,2
两个小时才到,0
属于政府招待所，酒店设施非常一般，服务态度也不太令人满意，房间的床上用品不干净，枕套居然是有大面积油渍的，换了一个居然还是一样，床单下有很多头发，被罩上还有零星的血渍，早餐质量太差，天天一样，令人没有食欲，18元的早餐也就是喝碗粥，吃个鸡蛋。希望邯郸地区的酒店能够尽量提高质量和服务水平,1
不是自己吃的。。不过应该很好吃吧。。不然朋友也不会经常订这个啦~~,2
送歺及时，服务周到，菜品可口,2
价格比比较不错的酒店。这次免费升级了，感谢前台服务员。房子还好，地毯是新的，比上次的好些。早餐的人很多要早去些。,2
"书看到最后几页居然是?双眼皮?,所有的字都印成了两遍头，根本就不能看。书的质量实在太差.",1
"前台服务员很热情,由于工作关系,本人清晨5:00离开酒店时,酒店给客人准备了早点心,让客人感到十分温馨和体贴.",2
